"session_ID","island_code","site_code","lat","long","month","day","start","end","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"20050801_SBI_AP","SBI","AP",33.487622,-119.028535,8,1,2005-08-01 21:00:00,2005-08-02 02:04:00,0,5.08310900070641,-0.778296002105101,1.00590525420225,268.928295797923,6.27666651802419,0.013014162984407,0.013014162984407,1012.7075845798,1014.71121954915,18.6936872590173,290.883035252754,15.8546738633232,0.0718688494098413,-21.1277739387302,0.0718688494098413
"20050807_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,7,2005-08-07 21:00:00,2005-08-08 01:45:00,1.86235205114631e-06,5.02526683856949,-2.94033380314126,1.03257574822287,294.26088229824,6.94067008927094,0.935194227844496,0.935194227844496,1012.56183988887,1011.99020926162,16.0881964980013,288.295824302071,14.5787199071989,0.0877926675809906,-21.0515390927175,0.0877926675809906
"20060429_SCI_SR1","SCI","SR1",34.047666,-119.547674,4,29,2006-04-29 21:00:00,2006-04-30 02:01:00,8.67361737988404e-19,4.5815213603121,-0.0173351734955307,0.865362588847178,263.304678605735,7.79905138734,0.116608644281725,0.116608644281725,1015.37131682429,1016.38414193585,15.0597281118446,286.61327525254,11.888145756606,0.078443487799569,-11.4399934703534,0.078443487799569
"20060628_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,28,2006-06-28 21:30:00,2006-06-29 02:00:00,8.67361737988404e-19,6.1700669879863,0.341224627295708,0.925088479800222,266.360335830997,6.34207028313929,0.0268566981520761,0.0267091897720741,1013.21812847153,1014.19506264497,16.1252502702499,289.601338165167,14.2438531148108,0.126572971554009,-6.0346081380121,0.126572971554009
"20090514_SBI_ESP","SBI","ESP",33.482528,-119.041599,5,14,2009-05-14 21:52:00,2009-05-15 01:00:00,0,-0.759391388441925,-0.443245554487681,1.92395116754136,286.542620642823,7.68481440554048,0.0252452962629515,0.0252452962629515,1009.75610331818,1011.76472913456,16.6804170396102,289.731209179381,14.171027300259,0.694262236151625,-19.2768088844886,0.694262236151625
"20090822_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,22,2009-08-22 21:55:00,2009-08-23 01:10:00,0,-0.284727015208688,0.375438745271918,0.906290810796455,236.581975885791,10.502811699413,0.0259563883844781,0.00958804470012562,1012.84962390132,1014.84543587773,18.909680931491,291.412645214241,16.9633006508495,0.110993583157742,-31.6327729247122,0.110993583157742
"20110829_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,29,2011-08-29 22:00:00,2011-08-30 01:00:00,0,3.59665013208035,-1.15149052202435,1.37465501339519,264.049828169215,7.80417184306935,0.000625638991042676,0.000625638991042676,1008.62942063541,1010.62552708178,18.6430278402794,291.390996146242,15.8743384567055,0.0190509467501533,-43.3401312644945,0.0190509467501533
"20140702_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,2,2014-07-02 21:00:00,2014-07-03 01:00:00,0,4.64990253882444,-1.89559044061353,1.05153068253104,248.185535434661,8.02870364654855,0,0,1010.97434512574,1012.97327018449,19.8395084895703,291.678038652014,15.7641041104172,0.287482035719192,4.62387908702991,0.287482035719192
"20140808_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,8,2014-08-08 11:35:00,2014-08-09 03:30:00,9.73393064193302e-07,2.19448580079813,0.0435751361975083,1.1283388970591,235.454563650856,9.80043617390581,0.871388799875211,0.871388799875211,1013.13459983901,1015.13808447122,21.1082832244501,292.175485579629,16.4483421236337,0.95735260312031,-2.68205795584983,0.95735260312031
"20140821_SBI_AP","SBI","AP",33.487622,-119.028535,8,21,2014-08-21 23:04:00,2014-08-22 02:10:00,0,1.6192518066287,-0.582072743670546,1.11513241943498,189.536244504028,9.7800595086932,0.0593471991210535,0.0593471991210535,1013.8847444589,1015.87933172982,21.508192202694,292.985213186218,16.8981681154195,0.0933540419663506,-26.8206515026163,0.0933540419663506
"20150617_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,17,2015-06-17 21:13:00,2015-06-18 02:00:00,0,3.67389762160917,1.07229990308158,0.875015564170435,250.258631538542,8.02263788144557,0.000147508380001937,0.000147508380001937,1012.06620343631,1013.05102395771,17.9667337532752,289.979433157573,14.7997348346436,0.0317778273206918,-21.0920273424958,0.0317778273206918
"20150617_SMI_PI1","SMI","PI1",34.056323,-120.332024,6,17,2015-06-17 20:50:00,2015-06-18 02:00:00,0,5.91354538135471,-4.57362698968454,1.37361454456611,287.28515999377,7.49166546421313,0.00574410711288315,0.00574410711288315,1012.52984152613,1011.96037006165,15.57197686006,287.453343926174,12.8310222145206,0.0310375117962981,-15.6949121801105,0.0310375117962981
"20150713_SMI_PI1","SMI","PI1",34.056323,-120.332024,7,13,2015-07-13 20:48:00,2015-07-14 02:00:00,6.43303097283951e-07,8.42331341626219,-6.88096252334765,1.64868254606706,292.895528170422,5.94004716635983,0.532543037204811,0.350559478212722,1012.66277646785,1012.09648308867,16.9914377882612,290.40350359719,15.5787123180693,0.0358574051112697,-30.5436479861574,0.0358574051112697
"20150808_SBI_AP","SBI","AP",33.487622,-119.028535,8,8,2015-08-08 20:25:00,2015-08-09 02:00:00,2.59108191961564e-06,3.67034197891964,-0.875464967316085,0.928318195668855,221.196333091809,9.44012036326635,0.679749134024079,0.679749134024079,1013.25808727364,1015.26255897792,20.5200344157079,292.205400033556,16.1652047128542,0.271646405430145,-24.3095290205024,0.271646405430145
"20150811_SMI_PI1","SMI","PI1",34.056323,-120.332024,8,11,2015-08-11 20:33:00,2015-08-12 02:00:00,5.80759740603601e-07,6.50125783293043,-6.12548969077145,1.20874745022168,285.673629696075,6.25262019088582,0.706800935624582,0.706800935624582,1013.96714886148,1013.39770190686,18.7239282415443,290.681805634708,16.1356181890619,0.0553502883343482,-32.3162240433698,0.0553502883343482
"20150911_SBI_ESP","SBI","ESP",33.482528,-119.041599,9,11,2015-09-11 21:03:00,2015-09-12 00:47:00,0,1.05685231825816,-0.139663786631488,1.25961525404871,188.534943801534,10.4386989588694,0.118782903270108,0,1012.49163370172,1014.46137453268,22.6956920698191,295.935837535454,21.5068961679567,0.00972378445398221,-43.106110429729,0.00972378445398221
"20160504_SCI_SR1","SCI","SR1",34.047666,-119.547674,5,4,2016-05-04 20:30:00,2016-05-05 01:51:00,3.80961841471894e-06,4.22046515031205,1.20827734942521,0.846641750552251,231.600567696559,10.3942430908337,0.186930902860282,0.129779761995592,1012.91383089163,1013.92059716642,15.157854626766,287.142753797509,11.1807114294061,0.0363764147788219,-41.1740550424056,0.0363764147788219
