"band_no","recapture","session_year","session_date","island_code","site_code"
"1971-02412","Y",2016,2016-06-03,"SMI","PI"
"1971-02423","N",2015,2015-07-14,"SMI","PI"
"1971-02423","Y",2016,2016-07-05,"SMI","PI"
"1971-02453","Y",2016,2016-07-05,"SMI","PI"
"1971-02453","N",2015,2015-08-11,"SMI","PI"
"1971-02454","Y",2018,2018-05-15,"SMI","PI"
"1971-02454","Y",2016,2016-06-04,"SMI","PI"
"1971-02454","N",2015,2015-08-11,"SMI","PI"
"1971-02454","Y",2016,2016-05-02,"SMI","PI"
"1971-02472","Y",2016,2016-05-04,"SMI","PI"
"1971-02472","N",2015,2015-09-09,"SMI","PI"
"1971-02475","Y",2016,2016-05-04,"SMI","PI"
"1971-02475","Y",2016,2016-06-05,"SMI","PI"
"1971-02475","N",2016,2016-05-02,"SMI","PI"
"1971-02482","N",2016,2016-05-02,"SMI","PI"
"1971-02482","Y",2016,2016-05-03,"SMI","PI"
"1971-02484","N",2016,2016-05-02,"SMI","PI"
"1971-02484","Y",2016,2016-06-03,"SMI","PI"
"1971-02499","Y",2016,2016-05-03,"SMI","PI"
"1971-02499","Y",2016,2016-05-04,"SMI","PI"
"1971-02499","N",2016,2016-05-02,"SMI","PI"
"1971-02527","N",2016,2016-05-03,"SMI","PI"
"1971-02527","Y",2016,2016-05-04,"SMI","PI"
"1971-02538","Y",2016,2016-06-04,"SMI","PI"
"1971-02538","N",2016,2016-05-03,"SMI","PI"
"1971-02551","N",2016,2016-05-03,"SMI","PI"
"1971-02551","Y",2016,2016-06-04,"SMI","PI"
"1971-02579","N",2016,2016-05-04,"SMI","PI"
"1971-02579","Y",2016,2016-06-04,"SMI","PI"
"1971-02579","Y",2016,2016-05-02,"SMI","PI"
"1971-02607","Y",2016,2016-06-05,"SMI","PI"
"1971-02607","N",2016,2016-06-03,"SMI","PI"
"1971-02607","Y",2016,2016-06-04,"SMI","PI"
"1971-02692","N",2016,2016-08-05,"SMI","PI"
"1971-02692","Y",2018,2018-06-11,"SMI","PI"
"1971-02693","N",2016,2016-08-05,"SMI","PI"
"1971-02693","Y",2018,2018-05-15,"SMI","PI"
"1971-02814","N",2016,2016-05-04,"SCI","SR"
"1971-02814","Y",2016,2016-06-05,"SMI","PI"
"1971-02820","Y",2016,2016-06-02,"SCI","SR"
"1971-02820","N",2016,2016-05-04,"SCI","SR"
"1971-02856","Y",2018,2018-06-12,"SCI","SR"
"1971-02911","Y",2018,2018-06-12,"SMI","PI"
"1971-02911","N",2018,2018-05-14,"SMI","PI"
"1971-02943","Y",2018,2018-08-10,"SMI","PI"
"1971-02943","N",2018,2018-05-15,"SMI","PI"
"1971-02967","Y",2018,2018-08-10,"SMI","PI"
"1971-02967","N",2018,2018-06-11,"SMI","PI"
"1971-03031","N",2018,2018-07-10,"SMI","PI"
"1971-03031","Y",2018,2018-07-11,"SMI","PI"
"1971-03101","N",2018,2018-08-09,"SMI","PI"
"1971-03101","Y",2018,2018-08-10,"SMI","PI"
"1971-03110","N",2018,2018-08-09,"SMI","PI"
"1971-03110","Y",2018,2018-08-09,"SMI","PI"
"1971-12365","Y",2018,2018-05-14,"SMI","PI"
"1971-12373","Y",2015,2015-09-09,"SMI","PI"
"2461-03712","N",2016,2016-06-01,"SCI","SR"
"2461-03712","Y",2016,2016-06-02,"SCI","SR"
"2461-03802","N",2018,2018-06-11,"SBI","ESP"
"2461-03802","Y",2018,2018-07-08,"SBI","AP"
"2461-03862","Y",2018,2018-08-13,"SBI","AP"
"2461-03862","N",2018,2018-07-08,"SBI","AP"
"2461-03885","Y",2018,2018-08-13,"SBI","AP"
"2461-03887","N",2018,2018-08-13,"SBI","AP"
"2461-03887","Y",2018,2018-08-15,"SBI","ESP"
"2461-05797","N",2018,2018-06-11,"SBI","ESP"
"2461-05797","Y",2018,2018-07-07,"SBI","ESP"
"2501-41901","Y",2016,2016-06-02,"SCI","SR"
"4501-37862","N",2015,2015-07-09,"SBI","AP"
"4501-37862","Y",2016,2016-07-07,"SBI","ESP"
"4501-37866","N",2015,2015-07-09,"SBI","AP"
"4501-37866","Y",2016,2016-06-01,"SBI","AP"
"4501-37899","Y",2016,2016-06-03,"SBI","ESP"
"4501-37899","N",2015,2015-07-23,"SBI","AP"
"4501-41149","Y",2016,2016-06-03,"SBI","ESP"
"4501-41149","N",2014,2014-07-20,"SBI","AP"
"4501-41150","Y",2014,2014-07-20,"SBI","AP"
"4501-41192","Y",2015,2015-06-12,"SBI","AP"
"4501-41210","N",2009,2009-05-14,"SBI","ESP"
"4501-41210","Y",2009,2009-06-24,"SBI","ESP"
"4501-41220","N",2009,2009-05-14,"SBI","ESP"
"4501-41220","Y",2009,2009-07-28,"SBI","ESP"
"4501-41228","Y",2009,2009-05-16,"SBI","ESP"
"4501-41240","Y",2009,2009-07-28,"SBI","ESP"
"4501-41240","N",2009,2009-06-24,"SBI","ESP"
"4501-41286","N",2009,2009-07-28,"SBI","ESP"
"4501-41286","Y",2009,2009-08-22,"SBI","ESP"
"4501-41336","N",2011,2011-06-04,"SBI","SRO"
"4501-41336","Y",2011,2011-07-01,"SBI","SRO"
"4501-41375","N",2011,2011-06-30,"SBI","ESP"
"4501-41375","Y",2011,2011-07-29,"SBI","ESP"
"4501-41456","Y",2015,2015-06-17,"SCI","SR"
"4501-41456","N",2014,2014-07-11,"SCI","LSH"
"4501-41478","N",2014,2014-07-16,"SBI","ESP"
"4501-41478","Y",2014,2014-07-20,"SBI","AP"
"4501-41484","N",2014,2014-07-16,"SBI","ESP"
"4501-41484","Y",2014,2014-07-19,"SBI","NTP"
"4501-41495","N",2014,2014-07-17,"SBI","ESP"
"4501-41495","Y",2014,2014-07-20,"SBI","AP"
"4501-41631","N",2014,2014-07-02,"SBI","ESP"
"4501-41631","Y",2014,2014-07-17,"SBI","ESP"
"4501-41654","Y",2014,2014-07-07,"SBI","SRO"
"4501-41654","N",2014,2014-07-04,"SBI","ESP"
"4501-41658","N",2014,2014-07-04,"SBI","ESP"
"4501-41658","Y",2014,2014-08-08,"SBI","ESP"
"4501-41662","N",2014,2014-07-04,"SBI","ESP"
"4501-41662","Y",2014,2014-07-05,"SBI","AP"
"4501-41666","Y",2014,2014-07-04,"SBI","ESP"
"4501-41674","N",2014,2014-07-04,"SBI","ESP"
"4501-41674","Y",2014,2014-07-17,"SBI","ESP"
"4501-41692","N",2014,2014-07-05,"SBI","AP"
"4501-41692","Y",2014,2014-07-20,"SBI","AP"
"4501-41840","Y",2017,2017-06-22,"SBI","AP"
"4501-41840","N",2017,2017-05-25,"SBI","AP"
"4501-41843","N",2017,2017-05-25,"SBI","AP"
"4501-41843","Y",2018,2018-05-12,"SBI","AP"
"4501-41870","N",2017,2017-05-26,"SBI","ESP"
"4501-41870","Y",2017,2017-06-22,"SBI","AP"
"4501-41875","Y",2018,2018-05-12,"SBI","AP"
"4501-41875","N",2017,2017-05-26,"SBI","ESP"
"4501-41894","N",2017,2017-06-22,"SBI","AP"
"4501-41894","Y",2018,2018-06-11,"SBI","ESP"
"4501-41900","Y",2018,2018-05-12,"SBI","AP"
"4501-41900","N",2017,2017-06-22,"SBI","AP"
"4501-41915","N",2015,2015-07-16,"SCI","SR"
"4501-41915","Y",2016,2016-06-03,"SCI","SR"
"4501-41922","Y",2016,2016-07-07,"SCI","SR"
"4501-41922","N",2015,2015-07-16,"SCI","SR"
"4501-41930","Y",2016,2016-06-02,"SCI","SR"
"4501-41933","Y",2016,2016-07-06,"SCI","SR"
"4501-41944","N",2016,2016-05-05,"SBI","AP"
"4501-41944","Y",2016,2016-06-02,"SBI","AP"
"4501-41966","Y",2018,2018-05-13,"SBI","ESP"
"4501-41966","N",2016,2016-05-07,"SBI","ESP"
"4501-41978","N",2016,2016-06-01,"SBI","AP"
"4501-41978","Y",2018,2018-06-10,"SBI","AP"
"4501-41997","Y",2016,2016-07-06,"SBI","AP"
"4501-41997","N",2016,2016-06-02,"SBI","AP"
"4501-49165","Y",2016,2016-06-04,"SBI","ESP"
"4501-95411","N",2005,2005-05-28,"SMI","PI"
"4501-95411","Y",2005,2005-05-29,"SMI","PI"
"4501-95414","N",2005,2005-05-28,"SMI","PI"
"4501-95414","Y",2005,2005-07-03,"SMI","PI"
"4501-95466","Y",2005,2005-08-06,"SMI","PI"
"4501-95466","N",2005,2005-05-29,"SMI","PI"
"4501-95468","Y",2005,2005-08-07,"SMI","PI"
