"Band Number","Capture Year","Capture Date","Capture Island","Capture Site","Recapture Year","Recapture Date","Recapture Island","Recapture Site"
"2461-03802",2018,2018-06-11,"SBI","ESP",2018,2018-07-08,"SBI","AP"
"1401-56346",2018,2018-06-12,"SCI","SR",2018,2018-07-11,"SCI","SR"
"1971-03031",2018,2018-07-10,"SMI","PI",2018,2018-07-11,"SMI","PI"
"1971-03110",2018,2018-08-09,"SMI","PI",2018,2018-08-09,"SMI","PI"
"1971-02943",2018,2018-05-15,"SMI","PI",2018,2018-08-10,"SMI","PI"
"1971-02967",2018,2018-06-11,"SMI","PI",2018,2018-08-10,"SMI","PI"
"1971-03101",2018,2018-08-09,"SMI","PI",2018,2018-08-10,"SMI","PI"
"2461-03862",2018,2018-07-08,"SBI","AP",2018,2018-08-13,"SBI","AP"
"2461-03887",2018,2018-08-13,"SBI","AP",2018,2018-08-15,"SBI","ESP"
"1401-60882",NA,NA,NA,NA,1995,1995-04-26,"SBI","ESP"
"1401-50742",NA,NA,NA,NA,1995,1995-06-24,"SBI","ESP"
"1401-50740",NA,NA,NA,NA,1996,1996-06-06,"SBI","AP"
"1401-61183",NA,NA,NA,NA,1996,1996-06-06,"SBI","AP"
"1401-60460",NA,NA,NA,NA,1996,1996-06-07,"SBI","WCliffs"
"1401-61029",NA,NA,NA,NA,1996,1996-06-07,"SBI","WCliffs"
"1401-60883",NA,NA,NA,NA,1996,1996-06-18,"SBI","ESP"
"1401-61795",NA,NA,NA,NA,1996,1996-06-18,"SBI","ESP"
"111-112826",NA,NA,NA,NA,1996,1996-07-17,"SBI","NCliffs"
"1401-61781",NA,NA,NA,NA,1996,1996-07-17,"SBI","NCliffs"
"1401-61795",NA,NA,NA,NA,1996,1996-07-20,"SBI","WCliffs"
"111-112782",NA,NA,NA,NA,1999,1999-06-10,"SBI","AP"
"1401-51901",NA,NA,NA,NA,1999,1999-06-10,"SBI","AP"
"1401-60883",NA,NA,NA,NA,2004,2004-07-18,"SBI","ESP"
"1401-60922",NA,NA,NA,NA,2005,2005-05-29,"SMI","PI"
"1401-61304",NA,NA,NA,NA,2005,2005-07-03,"SMI","PI"
"1401-59665",NA,NA,NA,NA,2005,2005-07-08,"SBI","AP"
"1971-01665",NA,NA,NA,NA,2005,2005-07-08,"SCI","SR"
"1971-01919",NA,NA,NA,NA,2005,2005-07-08,"SBI","AP"
"1401-50789",NA,NA,NA,NA,2005,2005-08-01,"SBI","AP"
"1401-56373",NA,NA,NA,NA,2006,2006-06-02,"SCI","SR"
"1971-02009",NA,NA,NA,NA,2006,2006-06-02,"SCI","SR"
"1971-02026",NA,NA,NA,NA,2006,2006-06-03,"SCI","SR"
"4501-41228",NA,NA,NA,NA,2009,2009-05-16,"SBI","ESP"
"4501-41666",NA,NA,NA,NA,2014,2014-07-04,"SBI","ESP"
"1111-12869",NA,NA,NA,NA,2014,2014-07-20,"SBI","AP"
"4501-41150",NA,NA,NA,NA,2014,2014-07-20,"SBI","AP"
"4501-41192",NA,NA,NA,NA,2015,2015-06-12,"SBI","AP"
"1971-02209",NA,NA,NA,NA,2015,2015-06-17,"SMI","PI"
"1971-12373",NA,NA,NA,NA,2015,2015-09-09,"SMI","PI"
"1401-60307",NA,NA,NA,NA,2016,2016-05-02,"SMI","PI"
"1401-60666",NA,NA,NA,NA,2016,2016-05-03,"SMI","PI"
"1401-60922",NA,NA,NA,NA,2016,2016-05-03,"SMI","PI"
"2501-41901",NA,NA,NA,NA,2016,2016-06-02,"SCI","SR"
"4501-41930",NA,NA,NA,NA,2016,2016-06-02,"SCI","SR"
"4501-49165",NA,NA,NA,NA,2016,2016-06-04,"SBI","ESP"
"1971-02184",NA,NA,NA,NA,2016,2016-06-05,"SMI","PI"
"1401-60768",NA,NA,NA,NA,2016,2016-07-06,"SCI","SR"
"4501-41933",NA,NA,NA,NA,2016,2016-07-06,"SCI","SR"
"1971-12365",NA,NA,NA,NA,2018,2018-05-14,"SMI","PI"
"1901-02899",NA,NA,NA,NA,2018,2018-06-10,"SBI","AP"
"1971-02856",NA,NA,NA,NA,2018,2018-06-12,"SCI","SR"
"MX07837",NA,NA,NA,NA,2018,2018-07-07,"SBI","ESP"
"1701-18537",NA,NA,NA,NA,2018,2018-07-10,"SMI","PI"
"2461-03885",NA,NA,NA,NA,2018,2018-08-13,"SBI","AP"
