catch_ID,session_ID,month,day,year,island_code,subisland_code,site_code,lat,long,capture_time,release_time,species,band_no,recapture,band_replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
19950804_SBI_ESP_09,19950804_SBI_ESP,8,4,1995,SBI,SBI,ESP,33.482528,-119.041599,8/5/1995 1:08,ND,ASSP,111-112830,N,N,N,3,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19960618_SBI_ESP_01,19960618_SBI_ESP,6,18,1996,SBI,SBI,ESP,33.482528,-119.041599,6/18/1996 22:52,ND,ASSP,1401-57410,N,N,N,D,ND,ND,ND,ND,ND,ND,132,ND,ND,JR,N,NA
19990521_SBI_ESP_15,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/22/1999 0:36,ND,ASSP,1401-55766,N,N,N,B,ND,ND,ND,ND,ND,ND,132,ND,ND,SW,N,NA
19990521_SBI_ESP_23,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/22/1999 1:55,ND,ASSP,1401-55774,N,N,N,B,ND,ND,ND,ND,ND,ND,132,ND,ND,SW,N,NA
19990611_SBI_WCliffs_13,19990611_SBI_WCliffs,6,11,1999,SBI,SBI,WCliffs,33.477633,-119.042881,6/12/1999 1:05,ND,ASSP,1401-56173,N,N,N,B,ND,ND,ND,ND,ND,ND,132,ND,ND,SW,N,NA
19990611_SBI_WCliffs_15,19990611_SBI_WCliffs,6,11,1999,SBI,SBI,WCliffs,33.477633,-119.042881,6/12/1999 1:11,ND,ASSP,1401-56175,N,N,N,D,ND,ND,ND,ND,ND,ND,132,ND,ND,SW,N,NA
20140712_SCI_HT_09,20140712_SCI_HT,7,12,2014,SCI,SR,HT,34.04733,-119.546765,7/13/2014 1:13,7/13/2014 1:21,ASSP,4501-41474,N,N,N,2,33,0,33,14,ND,21.2,132,ND,ND,"GRK, JAH, EWW",N,NA
20150712_SMI_PI1_10,20150712_SMI_PI1,7,12,2015,SMI,PI,PI1,34.056323,-120.332024,7/12/2015 22:35,ND,ASSP,1971-02390,N,N,N,0,62,26,36,13.9,37.3,23.2,132,ND,ND,ND,N,NA
20110604_SBI_SRO_01,20110604_SBI_SRO,6,4,2011,SBI,SBI,SRO,33.484214,-119.034674,6/4/2011 22:46,6/4/2011 23:05,ASSP,4501-41336,N,N,N,4,63,26,37,14.6,ND,22.35,132,ND,ND,"SKT, MEJ, LAH",N,NA
20110701_SBI_SRO_06,20110701_SBI_SRO,7,1,2011,SBI,SBI,SRO,33.484214,-119.034674,7/2/2011 0:36,7/2/2011 0:55,ASSP,4501-41336,Y,N,N,0,34,0,34,14,ND,22.6,132,ND,ND,"SAA, KWB",N,Bird came back to net after release and sat on ground--may have bounced off net.
