"session_ID","island_code","site_code","lat","long","session_year","session_date","start","end","flagged","DateTime_h","Longitude360","Latitude","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-18 02:00:00,240.971465,33.487622,0,3.71584103514306,-2.20171885624083,1.09923677345055,223.971635575545,8.01606717822344,0,0,101313.174553278,101512.624938962,293.173507898047,292.877757720228,289.105917973519,0,-32.8631609398722,0.0078715799067931
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-18 03:00:00,240.971465,33.487622,0,3.4855290944465,-1.63083184547431,1.10242308864858,225.102923548526,8.0445388448632,0.203515785939908,0,101335.253791983,101534.936337418,293.173507898047,292.187522647076,289.335104617348,0,-30.7437667376598,0.00860729619409345
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-18 21:00:00,240.971465,33.487622,0,6.83597488756075,-3.08619168982277,1.36308390242024,258.71164130517,6.97662909374998,0,0,101244.424372072,101443.126215037,293.020677249563,293.194556324587,289.311395654193,1,4.65463217179669,0.0274546344329527
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-18 22:00:00,240.971465,33.487622,0,6.55042553019306,-2.77260586700735,1.37152005123026,259.794252345448,7.010645365972,0.0165718035188379,0.0165718035188379,101288.735120092,101488.26191766,293.020677249563,293.401813564766,289.252913545078,0,-6.33213254645026,0.0288114118223628
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-18 23:00:00,240.971465,33.487622,0,6.29358714646234,-2.44519010533957,1.26563323379219,259.688785657927,6.81742638916204,0,0,101317.057453878,101515.958826088,293.020677249563,293.45036030571,289.269509819287,0,-16.4175506385186,0.0302005510322469
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-19 00:00:00,240.971465,33.487622,0,5.84794290348849,-2.35031029228259,1.25806699960766,259.462528063331,6.87717711767308,0.00125127798208535,0.00125127798208535,101335.672536165,101534.936337418,293.020677249563,293.422974964665,289.350120294013,0,-25.1443194643128,0.0316220067921467
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-19 01:00:00,240.971465,33.487622,0,5.43257001315363,-2.38697571156563,1.24969154251569,259.284947401437,6.91795453341103,0.0221872949506355,0.0221872949506355,101292.694155998,101491.33935193,293.020677249563,293.337084576842,289.47893899382,0,-31.8706309831629,0.0330757320458089
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-19 02:00:00,240.971465,33.487622,0,5.19289579844501,-2.60825473320358,1.2448665509301,259.436386747621,6.9368108713828,0.0168464742953932,0.0168464742953932,101283.481783987,101482.876407688,293.020677249563,293.215717724485,289.633047254326,0,-35.8276608526084,0.0345616779083923
"2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00,"N",2004-07-19 03:00:00,240.971465,33.487622,0,5.55115881730634,-2.99195512973567,1.25124929661251,260.555054775085,6.91379023048426,0.39508339309966,0.0102848946332382,101264.143416294,101463.12953779,293.020677249563,292.424032410645,289.802961490269,0,-36.3884546957102,0.0360797937667945
"2004-07-18_SBI_ESP","SBI","ESP",33.482528,-119.041599,2004,2004-07-18,2004-07-18 21:45:00,2004-07-19 02:41:00,"N",2004-07-18 21:00:00,240.958401,33.482528,0,6.83597488756075,-3.08619168982277,1.36308390242024,258.71164130517,6.97662909374998,0,0,101244.424372072,101443.126215037,293.020677249563,293.194556324587,289.311395654193,1,4.66283053051178,0.0274546344329527
