"catch_ID","session_ID","session_date","session_year","session_month","session_day","island_code","subisland_code","site_code","lat","long","capture_date","capture_year","capture_month","capture_day","capture_hour","capture_min","release_date","species","band_no","recapture","replaced","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","tail_fork","sex","how_sexed","age","how_aged","bander_id","measurers","flagged","notes"
"2004-07-18_SBI_AP_24","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 01:51:00,2004,7,19,1,51,2004-07-19 02:44:00,"ASSP","1001-21293","N","N","N","2",60,24,36,14.67,38.46,"22.43",141,NA,NA,"N",NA,NA,NA,NA,"PM","N",NA
"2004-07-18_SBI_AP_25","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 02:14:00,2004,7,19,2,14,2004-07-19 02:46:00,"ASSP","1001-21294","N","N","N","4",49,12,37,14.05,38.5,"23.24",143,NA,NA,"N",NA,NA,NA,NA,"PM","N",NA
"2004-07-18_SBI_AP_26","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 02:20:00,2004,7,19,2,20,2004-07-19 02:55:00,"ASSP","1001-21295","N","N","N","3",57,24,33,14.07,38.85,"23.08",143,NA,NA,"N",NA,NA,NA,NA,"PM","N",NA
"2004-08-14_SBI_AP_01","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-14 21:44:00,2004,8,14,21,44,NA,"ASSP","1001-21296","N","N","N","2",57,26,31,15.07,39.33,"22.79",141,75,NA,"N",NA,NA,NA,NA,"JA","N",NA
"2004-08-14_SBI_AP_02","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-14 21:53:00,2004,8,14,21,53,NA,"ASSP","1001-21297","N","N","N","1.5",63,26,37,14.26,37.47,"23.82",137,NA,NA,NA,NA,NA,NA,NA,"JA","N","puked oil"
"2004-08-14_SBI_AP_03","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-14 22:15:00,2004,8,14,22,15,NA,"ASSP","1001-21298","N","N","N","2",60,27,33,14.57,37.4,"23.96",144,83,NA,NA,NA,NA,NA,NA,"JA","N",NA
"2004-08-14_SBI_AP_04","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-14 22:50:00,2004,8,14,22,50,2004-08-14 22:56:00,"ASSP","1001-21299","N","N","N","4",61,27,34,14.73,38.1,"22.55",139,78,NA,NA,NA,NA,NA,NA,"JA","N",NA
"2004-08-14_SBI_AP_05","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-14 23:56:00,2004,8,14,23,56,2004-08-15 00:01:00,"ASSP","1001-21300","N","N","N","1.5",58,27,31,14.88,37.88,"21.51",138,78,NA,NA,NA,NA,NA,NA,"JA","N",NA
"2004-08-14_SBI_AP_06","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 00:08:00,2004,8,15,0,8,2004-08-15 00:17:00,"ASSP","1001-21314","N","N","N","2",59,27,32,15.11,37.82,"22.54",137,76,NA,NA,NA,NA,NA,NA,"JA","N","new band string"
"2004-08-14_SBI_AP_07","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 01:07:00,2004,8,15,1,7,2004-08-15 01:16:00,"BLSP","1001-21315","N","N","N","4.5",90,27,63,15.37,41.61,"32.05",182,NA,NA,NA,NA,NA,NA,NA,"JA","N","BILL WIDTH = 3.49; PUKED OIL"
"2004-08-14_SBI_AP_08","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 01:16:00,2004,8,15,1,16,2004-08-15 01:23:00,"ASSP","1001-21316","N","N","N","3",63,27,36,15.47,39.49,"21.91",145,83,NA,NA,NA,NA,NA,NA,"JA","N","BILL WIDTH = 2.53"
"2004-08-15_SBI_AP_01","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 23:37:00,2004,8,15,23,37,NA,"ASSP","1001-21316","Y","N","N","1.5",64,26,38,14.51,40.13,"24.89",145,NA,NA,NA,NA,NA,NA,NA,"PM","N","RECAPTURE BANDED 8/14/04 ARCH POINT SBI"
"2004-08-14_SBI_AP_09","2004-08-14_SBI_AP",2004-08-14,2004,8,14,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 02:23:00,2004,8,15,2,23,NA,"BLSP","1001-21317","N","N","N","0",85,27,58,15.1,41.43,"32.29",183,84,NA,NA,NA,NA,NA,NA,"JA","N","PUKED FOOD CHUNKS / OIL"
"2004-08-15_SBI_ESP_02","2004-08-15_SBI_ESP",2004-08-15,2004,8,15,"SBI","SBI","ESP",33.482528,-119.041599,2004-08-15 21:03:00,2004,8,15,21,3,2004-08-15 21:17:00,"BLSP","1001-21318","N","N","N","0",84,26,58,15.75,42.01,"33.88",185,NA,NA,NA,NA,NA,NA,NA,"JA","N",NA
"2004-08-15_SBI_AP_02","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 21:43:00,2004,8,15,21,43,NA,"ASSP","1001-21339","N","N","N","1.5",61,26,35,14.86,38.62,"25.94",135,NA,NA,NA,NA,NA,NA,NA,"PM","N","molt?"
"2004-08-15_SBI_AP_03","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 22:04:00,2004,8,15,22,4,NA,"ASSP","1001-21340","N","N","N","4",66,26,40,15.04,38.24,"26.21",146,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_04","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 22:45:00,2004,8,15,22,45,NA,"ASSP","1001-21341","N","N","N","4.5",62,27,35,15.59,38.5,"25.22",141,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_05","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 23:11:00,2004,8,15,23,11,NA,"ASSP","1001-21342","N","N","N","1.5",61,26,35,14,38.81,"26.42",146,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_06","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 23:26:00,2004,8,15,23,26,NA,"ASSP","1001-21343","N","N","N","4",60,26,34,14.37,38.09,"24.93",140,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_07","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-15 23:55:00,2004,8,15,23,55,NA,"ASSP","1001-21344","N","N","N","4",59,26,33,14.21,38.5,"24.97",143,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
"2004-08-15_SBI_AP_08","2004-08-15_SBI_AP",2004-08-15,2004,8,15,"SBI","SBI","AP",33.487622,-119.028535,2004-08-16 00:15:00,2004,8,16,0,15,NA,"ASSP","1001-21345","N","N","N","4",64,27,37,14.99,37.8,"23.4",137,NA,NA,NA,NA,NA,NA,NA,"PM","N",NA
