catch_ID,session_ID,session_date,session_year,session_month,session_day,island_code,subisland_code,site_code,lat,long,capture_date,capture_year,capture_month,capture_day,capture_hour,capture_min,release_date,species,ind_code,band_no,recapture,replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
2018-06-10_SBI_AP_28,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 1:40,2018,6,11,1,40,6/11/2018 1:52,ASSP,2461-05767,2461-05767,N,N,N,0,31,0,31,14.5,37,23.7,143,ND,ND,"JAH, CMB",N,NA
2018-06-10_SBI_AP_29,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 1:55,2018,6,11,1,55,6/11/2018 2:00,ASSP,2461-05768,2461-05768,N,N,N,1,35,0,35,13.7,36.4,22.4,140,ND,ND,"JAH, CMB",N,NA
2018-06-10_SBI_AP_30,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 2:03,2018,6,11,2,3,6/11/2018 2:24,ASSP,2461-05769,2461-05769,N,N,N,1,35,0,35,15,39.3,24,144,ND,ND,"JAH, CMB",N,NA
2018-06-10_SBI_AP_31,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 2:05,2018,6,11,2,5,6/11/2018 2:09,ASSP,2461-05770,2461-05770,N,N,N,0,36,0,36,15,38.5,22.2,135,ND,ND,"JAH, CMB",N,NA
2018-06-10_SBI_AP_32,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 2:25,2018,6,11,2,25,6/11/2018 2:30,ASSP,2461-05771,2461-05771,N,N,N,0,35,0,35,14.3,37.5,22.3,131,ND,ND,"JAH, CMB",N,NA
2018-06-10_SBI_AP_33,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 2:25,2018,6,11,2,25,6/11/2018 2:32,ASSP,2461-05772,2461-05772,N,N,N,0,31,0,31,14.8,37.5,24.5,140,ND,ND,"JAH, CMB",N,NA
2018-06-10_SBI_AP_34,2018-06-10_SBI_AP,6/10/2018,2018,6,10,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 2:30,2018,6,11,2,30,6/11/2018 2:36,ASSP,2461-05773,2461-05773,N,N,N,3,36,0,36,14,37.6,23.4,138,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_15,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:14,2018,6,11,21,14,6/11/2018 21:18,ASSP,2461-05774,2461-05774,N,N,N,2,36,0,36,13.8,37.9,23.1,142,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_16,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:21,2018,6,11,21,21,6/11/2018 21:26,ASSP,2461-05775,2461-05775,N,N,N,0,37,0,37,14.4,38.8,24,140,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_17,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:25,2018,6,11,21,25,6/11/2018 21:35,ASSP,2461-05776,2461-05776,N,N,N,0,32,0,32,13.9,37.6,24.5,136,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_18,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:37,2018,6,11,21,37,6/11/2018 21:44,ASSP,2461-05777,2461-05777,N,N,N,4,35,0,35,14,37,23,147,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_19,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:47,2018,6,11,21,47,6/11/2018 21:52,ASSP,2461-05778,2461-05778,N,N,N,0,33,0,33,14.5,38.4,23.3,136,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_20,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:47,2018,6,11,21,47,6/11/2018 21:56,ASSP,2461-05779,2461-05779,N,N,N,2,33,0,33,14.7,38.4,24,137,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_21,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 21:54,2018,6,11,21,54,6/11/2018 22:00,ASSP,2461-05780,2461-05780,N,N,N,0,33,0,33,14.4,38,23.2,142,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_22,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:00,2018,6,11,22,0,6/11/2018 22:07,ASSP,2461-05781,2461-05781,N,N,N,0,38,0,38,14.4,38.8,23.1,138,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_23,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:04,2018,6,11,22,4,6/11/2018 22:10,ASSP,2461-05782,2461-05782,N,N,N,0,36,0,36,14.7,39.4,23.7,138,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_24,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:14,2018,6,11,22,14,6/11/2018 22:21,ASSP,2461-05783,2461-05783,N,N,N,1,34,0,34,14.6,39.3,24.4,143,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_25,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:18,2018,6,11,22,18,6/11/2018 22:24,ASSP,2461-05784,2461-05784,N,N,N,2,36,0,36,14,38,24.5,146,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_26,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:45,2018,6,11,22,45,6/11/2018 22:52,ASSP,2461-05785,2461-05785,N,N,N,0,33,0,33,14.8,36.6,23.2,145,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_27,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:48,2018,6,11,22,48,6/11/2018 22:55,ASSP,2461-05786,2461-05786,N,N,N,2,36,0,36,13.9,39.1,24.4,146,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_28,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:55,2018,6,11,22,55,6/11/2018 23:00,ASSP,2461-05787,2461-05787,N,N,N,2,31,0,31,14.2,37.4,22.8,136,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_29,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/11/2018 22:48,2018,6,11,22,48,6/11/2018 23:02,ASSP,2461-05788,2461-05788,N,N,N,0,40,0,40,13.9,36.8,23.9,145,ND,ND,"JAH, CMB",N,NA
