"session_ID","island_code","site_code","lat","long","start","end","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"2005-07-02_SMI_PI","SMI","PI",34.056323,-120.332024,2005-07-02 21:29:00,2005-07-03 02:35:00,3.95044374485555e-07,5.45137962083304,-4.39675331951041,1.31613814010515,302.243397852614,7.1855821778281,0.686858965275946,0.686858965275946,1012.69649660422,1012.12144674521,13.8315579160439,286.308233259508,12.5835126021984,0.0959719241525277,-22.1110680917329,0.0959719241525277
"2005-07-03_SMI_PI","SMI","PI",34.056323,-120.332024,2005-07-03 21:50:00,2005-07-04 04:00:00,6.13729653218653e-07,4.95325675016575,-5.12264508556225,1.36553872747672,301.211340345562,6.97584350753771,0.860286039094807,0.860286039094807,1013.68923759189,1013.11323245898,13.6465891908406,286.385140801259,12.6244214510668,0.0451286392588967,-19.7165764151846,0.0451286392588967
"2005-07-07_SCI_SR","SCI","SR",34.047666,-119.547674,2005-07-07 21:32:00,2005-07-08 02:48:00,0,3.44820460448561,0.445389049338958,1.04443683969691,262.844354508563,7.44684942978355,0.08334078141656,0.08334078141656,1012.96866803339,1013.96191883969,16.5904733888942,288.699728139711,13.7727614517984,0.0290214394019186,-18.231924224672,0.0290214394019186
"2005-07-08_SBI_AP","SBI","AP",33.487622,-119.028535,2005-07-08 21:36:00,2005-07-09 02:36:00,0,3.76437743334196,-1.88722701831413,1.35740794435819,255.02897175146,7.93353647112141,0.157669745449948,0.157669745449948,1013.08949785795,1015.10706980507,17.914399120223,289.807323189033,14.8208941059067,0.0693022878972791,-16.4911377456848,0.0693022878972791
"2005-07-08_SBI_ESP","SBI","ESP",33.482528,-119.041599,2005-07-08 21:45:00,2005-07-09 03:00:00,0,3.76437743334196,-1.88722701831413,1.35740794435819,255.02897175146,7.93353647112141,0.157669745449948,0.157669745449948,1013.08949785795,1015.10706980507,17.914399120223,289.807323189033,14.8208941059067,0.0693022878972791,-16.4874248930033,0.0693022878972791
"2005-07-08_SCI_SR","SCI","SR",34.047666,-119.547674,2005-07-08 21:35:00,2005-07-09 03:56:00,1.69304731922318e-07,3.69642866494762,-0.155579497845357,1.14711583193152,267.004641513983,7.10628596717787,0.0495590008087528,0.0495590008087528,1012.63514887299,1013.62436831205,16.7111124613009,289.12131965822,14.4290971457799,0.0703285154885998,-18.392241599793,0.0703285154885998
"2005-07-09_SBI_AP","SBI","AP",33.487622,-119.028535,2005-07-09 23:24:00,2005-07-10 03:30:00,1.50493095042133e-07,3.12432834186591,-1.69378654743828,1.29749404592075,264.420438257272,7.11555503752154,0.63802206521905,0.63802206521905,1012.1308157881,1014.1459482341,17.9109594804673,289.736753105703,14.7179491917032,0.128994752605346,-27.1374120822425,0.128994752605346
"2005-07-09_SBI_ESP","SBI","ESP",33.482528,-119.041599,2005-07-09 21:30:00,2005-07-10 03:04:00,1.12869821281599e-07,3.7453263767828,-1.75391338390824,1.30955181624272,264.056782658447,7.1229490505378,0.575414295087971,0.575414295087971,1012.21817218758,1014.23448899791,17.9109594804673,289.777348214965,14.7113450032469,0.126377645375411,-17.1485790325695,0.126377645375411
"2005-07-09_SCI_SR","SCI","SR",34.047666,-119.547674,2005-07-09 21:30:00,2005-07-10 03:00:00,2.57988162929246e-07,3.71696147035027,0.0947905018192871,1.12738970773947,271.10318790905,6.49443045768825,0.121404483237453,0.121404483237453,1011.80001128521,1012.78933270806,16.8355826771754,289.46898419737,14.3873376403188,0.125049347635969,-12.9512436967538,0.125049347635969
"2005-07-31_SBI_AP","SBI","AP",33.487622,-119.028535,2005-07-31 21:00:00,2005-08-01 02:04:00,2.57988162929246e-07,6.17900546468345,-0.994433106373239,1.15740006127027,272.981159527643,5.93464085709392,0.191050964508612,0.191050964508612,1013.62611353522,1015.63225727333,18.6553478597893,291.006412471818,15.9727140654267,0.129155610552533,-17.8544029599679,0.129155610552533
"2005-08-01_SBI_AP","SBI","AP",33.487622,-119.028535,2005-08-01 21:00:00,2005-08-02 02:04:00,0,4.81549768856949,-0.683947457459357,0.97995487615379,268.263871672341,6.43568441757927,0.15587130584155,0.15587130584155,1012.85641220427,1014.8619348131,18.6936872590173,290.854042509475,15.8738523028683,0.0718688494098413,-21.1277739387302,0.0718688494098413
"2005-08-02_SBI_ESP","SBI","ESP",33.482528,-119.041599,2005-08-02 21:00:00,2005-08-03 02:04:00,0,1.08268596338551,1.02758991504707,0.91290875697227,256.468632166789,8.67724364538178,0.366583030141848,0.352614059219891,1013.0530319144,1015.05433727773,18.866200573268,290.747464823901,15.9191381665684,0.0305807371980688,-23.8387224699781,0.0305807371980688
